country,year,iso_code,population,gdp,biofuel_electricity,carbon_intensity_elec,coal_electricity,electricity_demand,electricity_generation,fossil_electricity,gas_electricity,greenhouse_gas_emissions,hydro_electricity,low_carbon_electricity,net_elec_imports_share_demand,nuclear_electricity,oil_electricity,other_renewable_electricity,other_renewable_exc_biofuel_electricity,per_capita_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_demand_generation_ratio,electricity_demand_generation_ratio_rating,per_capita_electricity_rating,nuclear_electricity_rating,net_elec_imports_share_demand_rating,risk_sum
Afghanistan,2022,AFG,41128772.0,53303472128.0,0.0,132.53,0.03,6.71,0.83,0.13,0.0,0.11,0.62,0.7,87.63,0.0,0.1,0.0,0.0,20.181,0.7,0.08,0.0,8.084337349397591,5,1,1,0,7
Albania,2022,ALB,2842318.0,36171005952.0,0.0,24.286,0.0,7.92,7.0,0.0,0.0,0.17,6.96,7.0,11.616,0.0,0.0,0.0,0.0,2462.779,7.0,0.04,0.0,1.1314285714285715,5,1,1,0,7
Algeria,2022,DZA,44903228.0,595820019712.0,0.0,634.611,0.0,87.04,88.18,87.5,87.12,55.96,0.01,0.68,-1.31,0.0,0.38,0.0,0.0,1963.779,0.68,0.66,0.01,0.9870718983896575,0,1,1,3,5
American Samoa,2022,ASM,44295.0,,0.0,611.111,0.0,0.18,0.18,0.17,0.0,0.11,0.0,0.01,0.0,0.0,0.17,0.0,0.0,4063.664,0.01,0.01,0.0,1.0,0,1,1,0,2
Angola,2022,AGO,35588996.0,158346248192.0,0.05,174.734,0.0,16.94,16.94,4.23,1.67,2.96,12.64,12.71,0.0,0.0,2.56,0.05,0.0,475.99,12.71,0.02,0.0,1.0,0,1,1,0,2
Antigua and Barbuda,2022,ATG,93772.0,,0.0,611.111,0.0,0.36,0.36,0.34,0.0,0.22,0.0,0.02,0.0,0.0,0.34,0.0,0.0,3839.099,0.02,0.02,0.0,1.0,0,1,1,0,2
Argentina,2022,ARG,45510324.0,854914301952.0,2.34,394.616,2.14,163.71,150.83,100.03,80.42,59.52,23.89,50.8,7.868,7.47,17.47,2.353,,3314.193,43.33,2.94,14.16,1.0853941523569581,5,1,3,0,9
Armenia,2022,ARM,2780472.0,39721734144.0,0.0,264.538,0.0,8.01,8.77,3.81,3.81,2.32,2.0,4.96,-9.488,2.63,0.0,0.0,0.0,3154.141,2.33,0.33,0.0,0.9133409350057012,0,1,3,3,7
Aruba,2022,ABW,106459.0,,0.0,561.224,0.0,0.98,0.98,0.83,0.0,0.55,0.0,0.15,0.0,0.0,0.83,0.0,0.0,9205.422,0.15,0.01,0.14,1.0,0,1,1,0,2
Australia,2022,AUS,26177410.0,1344251494400.0,3.25,570.353,130.93,273.55,273.55,182.69,46.29,156.02,17.12,90.86,0.0,0.0,5.47,3.187,,10449.849,90.86,38.84,31.65,1.0,0,1,1,0,2
Austria,2022,AUT,8939617.0,398815395840.0,4.69,141.79,0.06,72.95,64.25,14.1,10.88,9.11,34.71,50.15,11.926,0.0,3.16,4.69,0.0,7187.109,50.15,3.79,6.96,1.135408560311284,5,1,1,0,7
Azerbaijan,2022,AZE,10358078.0,175370551296.0,0.1,671.389,0.0,26.08,28.94,27.1,27.01,19.43,1.6,1.84,-10.966,0.0,0.09,0.1,0.0,2793.955,1.84,0.06,0.08,0.9011748445058742,0,1,1,3,5
Bahamas,2022,BHS,409989.0,,0.0,660.099,0.0,2.03,2.03,2.03,0.0,1.34,0.0,0.0,0.0,0.0,2.03,0.0,0.0,4951.353,0.0,0.0,0.0,1.0,0,1,1,0,2
Bahrain,2022,BHR,1472237.0,58769760256.0,0.0,904.615,0.0,35.58,35.54,35.53,35.53,32.15,0.0,0.01,0.112,0.0,0.0,0.0,0.0,24140.135,0.01,0.01,0.0,1.0011254924029263,5,1,1,0,7
Bangladesh,2022,BGD,171186368.0,858143916032.0,0.0,678.106,5.66,110.63,101.99,100.66,69.19,69.16,0.79,1.33,7.81,0.0,25.81,0.0,0.0,595.783,1.33,0.53,0.01,1.0847141876654574,5,1,1,0,7
Barbados,2022,BRB,281646.0,3408005888.0,0.0,605.505,0.0,1.09,1.09,1.01,0.03,0.66,0.0,0.08,0.0,0.0,0.98,0.0,0.0,3870.106,0.08,0.08,0.0,1.0,0,1,1,0,2
Belarus,2022,BLR,9534956.0,175773810688.0,0.56,441.74,0.03,38.23,38.62,32.63,30.71,17.06,0.39,5.99,-1.02,4.68,1.89,0.56,0.0,4050.36,1.31,0.17,0.19,0.9899016053858104,0,1,3,3,7
Belgium,2022,BEL,11655923.0,489678405632.0,4.94,139.792,0.05,86.61,94.14,26.01,21.95,13.16,0.27,68.13,-8.694,43.88,4.01,4.94,0.0,8076.58,24.25,6.88,12.16,0.9200127469725939,0,1,3,3,7
Belize,2022,BLZ,405285.0,,0.16,225.806,0.0,0.59,0.31,0.06,0.0,0.07,0.08,0.25,47.458,0.0,0.06,0.16,0.0,764.894,0.25,0.01,0.0,1.9032258064516128,5,1,1,0,7
Benin,2022,BEN,13352864.0,33290362880.0,0.0,584.071,0.0,1.82,1.13,1.11,0.89,0.66,0.0,0.02,37.912,0.0,0.22,0.0,0.0,84.626,0.02,0.02,0.0,1.610619469026549,5,1,1,0,7
Bermuda,2022,BMU,64207.0,,0.01,650.794,0.0,0.63,0.63,0.62,0.0,0.41,0.0,0.01,0.0,0.0,0.62,0.01,0.0,9812.015,0.01,0.0,0.0,1.0,0,1,1,0,2
Bhutan,2022,BTN,782457.0,,0.0,23.333,0.0,9.83,9.0,0.0,0.0,0.21,9.0,9.0,8.444,0.0,0.0,0.0,0.0,11502.229,9.0,0.0,0.0,1.0922222222222222,5,1,1,0,7
Bolivia,2022,BOL,12224114.0,78165311488.0,0.39,489.14,0.0,11.51,11.51,7.48,7.27,5.63,2.85,4.03,0.0,0.0,0.21,0.39,0.0,941.582,4.03,0.35,0.44,1.0,0,1,1,0,2
Bosnia and Herzegovina,2022,BIH,3233530.0,47069138944.0,0.04,670.091,10.98,13.52,16.55,11.01,0.0,11.09,4.97,5.54,-22.411,0.0,0.03,,,5118.245,5.54,0.14,0.39,0.8169184290030211,0,1,1,3,5
Botswana,2022,BWA,2630300.0,39293968384.0,0.0,847.909,2.52,4.29,2.63,2.62,0.0,2.23,0.0,0.01,38.695,0.0,0.1,0.0,0.0,999.886,0.01,0.01,0.0,1.6311787072243347,5,1,1,0,7
Brazil,2022,BRA,215313504.0,3187413090304.0,52.77,105.513,16.46,690.08,677.17,70.97,42.11,71.45,427.11,606.2,1.871,14.56,12.4,55.033,,3145.042,591.64,30.13,81.63,1.019064636649586,5,1,3,0,9
British Virgin Islands,2022,VGB,31332.0,,0.0,647.059,0.0,0.17,0.17,0.17,0.0,0.11,0.0,0.0,0.0,0.0,0.17,0.0,0.0,5425.763,0.0,0.0,0.0,1.0,0,1,1,0,2
Brunei,2022,BRN,449002.0,,0.0,893.913,1.22,5.75,5.75,5.75,4.49,5.14,0.0,0.0,0.0,0.0,0.04,0.0,0.0,12806.18,0.0,0.0,0.0,1.0,0,1,1,0,2
Bulgaria,2022,BGR,6781955.0,138390159360.0,2.24,476.902,21.79,38.03,50.22,24.19,2.05,23.95,3.8,26.03,-32.054,16.46,0.35,2.24,0.0,7404.944,9.57,2.09,1.44,0.757268020708881,0,1,3,3,7
Burkina Faso,2022,BFA,22673764.0,37320441856.0,0.0,467.533,0.0,2.32,0.77,0.53,0.0,0.36,0.12,0.24,66.81,0.0,0.53,0.0,0.0,33.96,0.24,0.12,0.0,3.0129870129870127,5,1,1,0,7
Burundi,2022,BDI,12889583.0,9177076736.0,0.01,250.0,0.0,0.46,0.36,0.12,0.0,0.09,0.22,0.24,21.739,0.0,0.12,0.01,0.0,27.93,0.24,0.01,0.0,1.277777777777778,5,1,1,0,7
Cambodia,2022,KHM,16767851.0,65136594944.0,0.08,417.707,3.84,12.38,8.81,4.34,0.0,3.68,4.0,4.47,28.837,0.0,0.5,0.08,0.0,525.41,4.47,0.39,0.0,1.40522133938706,5,1,1,0,7
Cameroon,2022,CMR,27914542.0,82727796736.0,0.04,305.419,0.0,8.12,8.12,3.06,2.38,2.48,5.0,5.06,0.0,0.0,0.68,0.04,0.0,290.888,5.06,0.02,0.0,1.0,0,1,1,0,2
Canada,2022,CAN,38454328.0,1761295597568.0,8.52,161.434,35.49,608.54,659.65,122.51,84.24,106.49,398.44,537.14,-8.399,86.64,2.78,9.123,,17154.117,450.5,6.01,37.53,0.9225195179261729,0,1,3,3,7
Cape Verde,2022,CPV,593162.0,4251154688.0,0.0,558.14,0.0,0.43,0.43,0.36,0.0,0.24,0.0,0.07,0.0,0.0,0.36,0.0,0.0,724.928,0.07,0.01,0.06,1.0,0,1,1,0,2
Cayman Islands,2022,CYM,68722.0,,0.0,642.857,0.0,0.7,0.7,0.68,0.0,0.45,0.0,0.02,0.0,0.0,0.68,0.0,0.0,10185.967,0.02,0.02,0.0,1.0,0,1,1,0,2
Central African Republic,2022,CAF,5579148.0,3752056576.0,0.0,0.0,0.0,0.15,0.15,0.0,0.0,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,26.886,0.15,0.0,0.0,1.0,0,1,1,0,2
Chad,2022,TCD,17723312.0,24118011904.0,0.01,628.571,0.0,0.35,0.35,0.33,0.0,0.22,0.0,0.02,0.0,0.0,0.33,0.01,0.0,19.748,0.02,0.0,0.01,1.0,0,1,1,0,2
Chile,2022,CHL,19603736.0,448338100224.0,,353.521,19.16,83.22,83.22,39.15,15.89,29.42,20.27,44.07,0.0,0.0,4.1,6.072,0.46,4245.109,44.07,14.52,8.82,1.0,0,1,1,0,2
China,2022,CHN,1425887360.0,26966017179648.0,176.63,585.821,5397.8,8834.42,8848.73,5760.75,290.58,5183.77,1303.13,3087.98,-0.162,417.8,72.37,182.525,,6205.771,2670.18,427.72,762.7,0.9983828187773839,0,1,3,3,7
Colombia,2022,COL,51874028.0,742716997632.0,2.18,214.881,4.4,85.64,85.21,23.91,16.76,18.31,58.73,61.3,0.502,0.0,2.75,2.18,0.0,1642.633,61.3,0.33,0.06,1.0050463560614953,5,1,1,0,7
Comoros,2022,COM,836783.0,1682077056.0,0.0,642.857,0.0,0.14,0.14,0.14,0.0,0.09,0.0,0.0,0.0,0.0,0.14,0.0,0.0,167.307,0.0,0.0,0.0,1.0,0,1,1,0,2
